Census Year,Neighborhood,Area Code,Geo Name,Latitude,Longitude,Household Average Income,Household Median Icome,Average Income Male,Average Income Female,Median Income - Total,Median Income Male,Median Income Female,Median Dwelling Value,Average Dwelling Value
2016,Bedford Park-Nortown,39.0,M5M,43.731486231800000,-79.4202273481,252123.0,136982.0,159767.0,90845.0,56714,72216.0,47829.0,1392931.0,1456943.0
2016,Forest Hill North ,102.0,M5N,43.7042175596,-79.42814316480000,214698.0,94106.0,153608.0,72152.0,45344,54784.0,39998.0,1505143.0,1666666.0
2016,Forest Hill South ,101.0,M5P,43.694525756400000,-79.4143178642,243566.0,85309.0,216664.0,74699.0,50153,58740.0,45087.0,1506742.0,1801824.0
2016,Annex,95.0,M5R,43.6715854351,-79.4040006243,188123.0,68881.0,162806.0,78246.0,43152,46464.0,40400.0,1202204.0,1445926.0
2016,University ,79.0,M5S,43.6625062026,-79.401179748,99353.0,52966.0,73401.0,49056.0,28173,30384.0,25835.0,750845.0,881613.0
2016,Kensington-Chinatown ,78.0,M5T,43.653554131600000,-79.3972398768,67852.0,43986.0,40024.0,34426.0,20336,21080.0,19835.0,598675.0,692858.0
2016,Waterfront Communities-The Islands,77.0,M5V,43.64082,-79.39954,99765.0,77752.0,78392.0,56581.0,52970,59247.0,47964.0,415435.0,497582.0
2016,Englemount-Lawrence ,32.0,M6A,43.7203446653,-79.43740855,72787.0,53933.0,44154.0,34386.0,26757,29138.0,25408.0,500266.0,644259.0
2016,Yorkdale-Glen Park,31.0,M6B,43.70799,-79.44837,106225.0,66282.0,60574.0,43131.0,30257,34519.0,27240.0,798767.0,846659.0
2016,Humewood-Cedarvale ,106.0,M6C,43.6913698124,-79.4276833521,125138.0,69058.0,84222.0,51686.0,35726,39601.0,32556.0,898474.0,1037564.0
2016,Oakwood Village ,107.0,M6E,43.6885655593,-79.4397854793,74558.0,61113.0,39250.0,31949.0,26995,31434.0,23946.0,601615.0,638152.0
2016,Wychwood,94.0,M6G,43.6769192679,-79.425514947,112203.0,72363.0,68765.0,45974.0,32929,35543.0,30543.0,897766.0,966878.0
2016,Corso Italia-Davenport ,92.0,M6H,43.6776609067,-79.4474693307,81736.0,63550.0,45389.0,37431.0,29554,32343.0,26834.0,751791.0,774456.0
2016,Little Portugal,84.0,M6J,43.6475359304,-79.4303227131,107587.0,71745.0,68729.0,48383.0,34929,38548.0,31904.0,800535.0,815306.0
2016,Niagara ,82.0,M6K,43.6366808791,-79.412420401,70034.0,54000.0,47456.0,40373.0,31915,33957.0,29925.0,500197.0,581671.0
