,neighborhood,borough,area,overall,category,score,rating,dwelling,lat,long,size,grade,dwelling_bins
83,Mount Pleasant West,Central Toronto,104.0,85.75,Commute,4.0,Excellent,520032.0,43.70443517060001,-79.393359554,0.5,B+,"(500000, 525000]"
106,Runnymede-Bloor West Village,West Toronto,89.0,88.12500000000001,Commute,3.0,Good,666204.0,43.6592688193,-79.485708182,0.5,B+,"(650000, 675000]"
113,Stonegate-Queensway,Etobicoke,16.0,88.625,Commute,4.0,Excellent,690949.0,43.635518132899996,-79.50112821329999,0.5,B+,"(675000, 700000]"
122,Waterfront Communities-The Island,Downtown Toronto,77.0,87.96875,Commute,4.0,Excellent,416759.0,43.6338803623,-79.3772023146,0.5,B+,"(400000, 425000]"
129,Willowdale East,North York,51.0,88.21874999999999,Commute,3.0,Good,540911.0,43.7706022616,-79.40148378960001,0.5,B+,"(525000, 550000]"
2,Alderwood,Etobicoke,20.0,87.96875,Work,3.0,Good,504233.0,43.6049368959,-79.5416109273,0.5,B+,"(500000, 525000]"
4,Banbury-Don Mills,North York,42.0,85.84375000000001,Work,3.0,Good,613647.0,43.737657004300004,-79.3497179808,0.5,B+,"(600000, 625000]"
41,Etobicoke West Mall,Etobicoke,13.0,89.03124999999999,Work,3.0,Good,298426.0,43.6450626244,-79.5689387722,0.5,B+,"(250000, 300000]"
43,Forest Hill North,Central Toronto,102.0,85.43749999999999,Work,3.0,Good,957688.0,43.7042175596,-79.42814316479999,0.5,B+,"(900000, 1000000]"
47,Guildwood,Scarborough,140.0,88.625,Work,3.0,Good,444309.0,43.7488293378,-79.1950553496,0.5,B+,"(425000, 450000]"
50,High Park-Swansea,West Toronto,87.0,88.93749999999999,Work,3.0,Good,622206.0,43.6450645834,-79.46787222430001,0.5,B+,"(600000, 625000]"
66,Lambton Baby Point,York,114.0,88.625,Work,3.0,Good,806452.0,43.7957160278,-79.3140842409,0.5,B+,"(800000, 850000]"
67,Lansing-Westgate,North York,38.0,87.8125,Work,3.0,Good,646460.0,43.754271154899996,-79.4247477215,0.5,B+,"(625000, 650000]"
70,Leaside-Bennington,East York,56.0,88.37499999999999,Work,3.0,Good,1071823.0,43.7037966281,-79.3660723439,0.5,B+,"(1000000, 1500000]"
82,Mount Pleasant East,Central Toronto,99.0,85.1875,Work,3.0,Good,815247.0,43.7048521692,-79.3849239458,0.5,B+,"(800000, 850000]"
83,Mount Pleasant West,Central Toronto,104.0,85.75,Work,3.0,Good,520032.0,43.70443517060001,-79.393359554,0.5,B+,"(500000, 525000]"
106,Runnymede-Bloor West Village,West Toronto,89.0,88.12500000000001,Work,4.0,Excellent,666204.0,43.6592688193,-79.485708182,0.5,B+,"(650000, 675000]"
113,Stonegate-Queensway,Etobicoke,16.0,88.625,Work,3.0,Good,690949.0,43.635518132899996,-79.50112821329999,0.5,B+,"(675000, 700000]"
122,Waterfront Communities-The Island,Downtown Toronto,77.0,87.96875,Work,4.0,Excellent,416759.0,43.6338803623,-79.3772023146,0.5,B+,"(400000, 425000]"
129,Willowdale East,North York,51.0,88.21874999999999,Work,2.0,Fair,540911.0,43.7706022616,-79.40148378960001,0.5,B+,"(525000, 550000]"
2,Alderwood,Etobicoke,20.0,87.96875,Health,4.0,Excellent,504233.0,43.6049368959,-79.5416109273,0.5,B+,"(500000, 525000]"
4,Banbury-Don Mills,North York,42.0,85.84375000000001,Health,3.0,Good,613647.0,43.737657004300004,-79.3497179808,0.5,B+,"(600000, 625000]"
41,Etobicoke West Mall,Etobicoke,13.0,89.03124999999999,Health,4.0,Excellent,298426.0,43.6450626244,-79.5689387722,0.5,B+,"(250000, 300000]"
43,Forest Hill North,Central Toronto,102.0,85.43749999999999,Health,3.0,Good,957688.0,43.7042175596,-79.42814316479999,0.5,B+,"(900000, 1000000]"
47,Guildwood,Scarborough,140.0,88.625,Health,4.0,Excellent,444309.0,43.7488293378,-79.1950553496,0.5,B+,"(425000, 450000]"
50,High Park-Swansea,West Toronto,87.0,88.93749999999999,Health,1.0,Poor,622206.0,43.6450645834,-79.46787222430001,0.5,B+,"(600000, 625000]"
66,Lambton Baby Point,York,114.0,88.625,Health,3.0,Good,806452.0,43.7957160278,-79.3140842409,0.5,B+,"(800000, 850000]"
67,Lansing-Westgate,North York,38.0,87.8125,Health,4.0,Excellent,646460.0,43.754271154899996,-79.4247477215,0.5,B+,"(625000, 650000]"
70,Leaside-Bennington,East York,56.0,88.37499999999999,Health,1.0,Poor,1071823.0,43.7037966281,-79.3660723439,0.5,B+,"(1000000, 1500000]"
82,Mount Pleasant East,Central Toronto,99.0,85.1875,Health,1.0,Poor,815247.0,43.7048521692,-79.3849239458,0.5,B+,"(800000, 850000]"
83,Mount Pleasant West,Central Toronto,104.0,85.75,Health,1.0,Poor,520032.0,43.70443517060001,-79.393359554,0.5,B+,"(500000, 525000]"
106,Runnymede-Bloor West Village,West Toronto,89.0,88.12500000000001,Health,1.0,Poor,666204.0,43.6592688193,-79.485708182,0.5,B+,"(650000, 675000]"
113,Stonegate-Queensway,Etobicoke,16.0,88.625,Health,3.0,Good,690949.0,43.635518132899996,-79.50112821329999,0.5,B+,"(675000, 700000]"
122,Waterfront Communities-The Island,Downtown Toronto,77.0,87.96875,Health,3.0,Good,416759.0,43.6338803623,-79.3772023146,0.5,B+,"(400000, 425000]"
129,Willowdale East,North York,51.0,88.21874999999999,Health,3.0,Good,540911.0,43.7706022616,-79.40148378960001,0.5,B+,"(525000, 550000]"
0,Agincourt North,Scarborough,129.0,81.90624999999999,Affordability,4.0,Excellent,375307.0,43.8054405769,-79.266712166,0.125,B,"(375000, 400000]"
3,Annex,Central Toronto,95.0,77.09375,Affordability,3.0,Good,993491.0,43.6715854351,-79.4040006243,0.125,B,"(900000, 1000000]"
5,Bathurst Manor,North York,34.0,81.4375,Affordability,3.0,Good,568877.0,43.7648133077,-79.4560551588,0.125,B,"(550000, 575000]"
6,Bay Street Corridor,Downtown Toronto,76.0,77.65625,Affordability,4.0,Excellent,457787.0,43.6575113467,-79.3857212509,0.125,B,"(450000, 475000]"
9,Bedford Park-Nortown,North York,39.0,84.53125,Affordability,3.0,Good,1191040.0,43.731486231800005,-79.4202273481,0.125,B,"(1000000, 1500000]"
23,Church-Yonge Corridor,Downtown Toronto,75.0,81.09375,Affordability,4.0,Excellent,410703.0,43.6596488635,-79.3790171666,0.125,B,"(400000, 425000]"
25,Clanton Park,North York,33.0,81.18749999999999,Affordability,3.0,Good,605585.0,43.7419784331,-79.4463025758,0.125,B,"(600000, 625000]"
27,Corso Italia-Davenport,Central Toronto,92.0,77.49999999999999,Affordability,3.0,Good,502819.0,43.6776609067,-79.4474693307,0.125,B,"(500000, 525000]"
28,Danforth,East Toronto,66.0,80.28125,Affordability,3.0,Good,585093.0,43.6840254743,-79.32981940890001,0.125,B,"(575000, 600000]"
48,Henry Farm,North York,53.0,75.37500000000001,Affordability,4.0,Excellent,372110.0,43.7711441425,-79.3412406671,0.125,B,"(350000, 375000]"
51,Highland Creek,Scarborough,134.0,84.9375,Affordability,4.0,Excellent,529278.0,43.7907747688,-79.17747247289999,0.125,B,"(525000, 550000]"
52,Hillcrest Village,North York,48.0,78.3125,Affordability,4.0,Excellent,484743.0,43.8029878281,-79.3548039999,0.125,B,"(475000, 500000]"
53,Humber Heights-Westmount,Etobicoke,8.0,81.59375,Affordability,3.0,Good,491396.0,43.6922328007,-79.5224162029,0.125,B,"(475000, 500000]"
56,Humewood-Cedarvale,York,106.0,81.4375,Affordability,2.0,Fair,800442.0,43.6913698124,-79.4276833521,0.125,B,"(800000, 850000]"
58,Islington-City Centre West,Etobicoke,14.0,84.53125,Affordability,4.0,Excellent,491678.0,43.6334633497,-79.5433165354,0.125,B,"(475000, 500000]"
64,Kingsway South,Etobicoke,15.0,84.93750000000003,Affordability,4.0,Excellent,941223.0,43.6535204276,-79.5105768007,0.125,B,"(900000, 1000000]"
65,L'Amoreaux,Scarborough,117.0,75.125,Affordability,4.0,Excellent,355438.0,43.6574201304,-79.4960452553,0.125,B,"(350000, 375000]"
72,Long Branch,Etobicoke,19.0,77.90625,Affordability,4.0,Excellent,459088.0,43.592361688500006,-79.5333454492,0.125,B,"(450000, 475000]"
76,Milliken,Scarborough,130.0,81.5,Affordability,4.0,Excellent,387879.0,43.8206907942,-79.2750089244,0.125,B,"(375000, 400000]"
77,Mimico,Etobicoke,17.0,81.34375,Affordability,4.0,Excellent,429941.0,43.615923861300004,-79.5001366364,0.125,B,"(425000, 450000]"
88,North Riverdale,East Toronto,68.0,77.5,Affordability,3.0,Good,818592.0,43.671995149,-79.3512604136,0.125,B,"(800000, 850000]"
93,Old East York,East York,58.0,84.78125000000001,Affordability,3.0,Good,581398.0,43.696781271199995,-79.3354883594,0.125,B,"(575000, 600000]"
95,Parkwoods-Donalda,North York,45.0,75.21875,Affordability,3.0,Good,553698.0,43.755033474499996,-79.3301795171,0.125,B,"(550000, 575000]"
96,Pelmo Park-Humberlea,North York,23.0,77.25000000000001,Affordability,4.0,Excellent,412618.0,43.7175146009,-79.52828220239999,0.125,B,"(400000, 425000]"
98,Pleasant View,North York,46.0,84.78125,Affordability,3.0,Good,463859.0,43.786981759,-79.33494842520001,0.125,B,"(450000, 475000]"
105,Rouge,Scarborough,131.0,82.15624999999999,Affordability,4.0,Excellent,426850.0,43.8212012569,-79.1863434458,0.125,B,"(425000, 450000]"
110,South Riverdale,East Toronto,70.0,76.59375,Affordability,3.0,Good,537087.0,43.649292063500006,-79.335651321,0.125,B,"(525000, 550000]"
111,St.Andrew-Windfields,North York,40.0,84.625,Affordability,2.0,Fair,1363202.0,43.7527583,-79.4000493,0.125,B,"(1000000, 1500000]"
112,Steeles,Scarborough,116.0,84.78124999999999,Affordability,3.0,Good,440688.0,43.812958825900004,-79.3212070061,0.125,B,"(425000, 450000]"
125,Westminster-Branson,North York,35.0,79.21875,Affordability,4.0,Excellent,372380.0,43.7788132165,-79.4524182256,0.125,B,"(350000, 375000]"
130,Willowdale West,North York,37.0,84.375,Affordability,3.0,Good,541247.0,43.771210491800005,-79.4275578,0.125,B,"(525000, 550000]"
133,Woodbine Corridor,East Toronto,64.0,84.53125,Affordability,4.0,Excellent,521549.0,43.6767729247,-79.3154073786,0.125,B,"(500000, 525000]"
134,Woodbine-Lumsden,East York,60.0,84.9375,Affordability,4.0,Excellent,440700.0,43.694106742399995,-79.3111635266,0.125,B,"(425000, 450000]"
