,Neighborhood,Area Code,Geo Name,Borough,Total Population,Population Previous Census,Population Change,Area in km,Population Density,Green Space Area in km,Green Space to Total Area in km,Walk Score,Healthy Food Index,In Labor Force,Average Income,Low Income Population,Unemployed,Debt Risk Score,Home Prices,Affordability,High Shelter Costs,Owned Dwellings,Rented Dwellings,Own to Rent Ratio,Commute  15 or less,Commute  15 to 29,Commute  30 to 44,Commute  45 to 59,Commute  60 or more,Tenant Average Rent,Population Over 25,Bachelor or Higher,Associates or Diploma,Less than 9th Grade,Drug Arrests,Assaults,Sexual Assaults,Break and Enter,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Longitude,Latitude,Housing Affordability,Unemployment Rate,Reported Crimes
28,Danforth,66,M4J,East Toronto,9666,9450,2.4,1.1,8787.272727272726,0.0,0.0,86,32.16,5445,88629,1400,340,755,585093,,1190,2490,1410,1.7659574468085106,435,1285,1865,655,380,828,7150,3295,4840,1630,20,59,9,40,14,5,3,1,0,-79.32981940890001,43.6840254743,6.601597671191145,6.244260789715335,151
29,Danforth-East York,59,M4J,East York,17180,16710,2.8,2.2,7809.090909090908,0.07,0.03181818181818182,77,24.56,9420,83989,2340,650,763,518568,,1900,5005,1945,2.5732647814910026,845,2340,2795,1265,785,923,12845,5255,8510,2705,9,39,3,41,6,11,4,0,0,-79.3314033847,43.6894680941,6.174237102477705,6.900212314225053,113
30,Don Valley Village,47,M2J,North York,27051,26735,1.2,4.1,6597.804878048781,0.24,0.05853658536585366,79,37.87,13880,69884,7040,1330,756,478489,,4065,5010,4735,1.058078141499472,1045,2935,3000,1745,2755,1114,19955,9675,15035,2665,15,103,14,64,17,26,8,0,3,-79.3536441306,43.783293686899995,6.846903439986263,9.5821325648415,250
31,Dorset Park,126,M1P,Scarborough,25003,24360,2.6,6.0,4167.166666666667,0.17,0.028333333333333335,68,32.27,12735,60973,6590,1230,727,279189,,3345,5290,3235,1.6352395672333848,1405,2670,2755,1765,2410,921,17930,4945,10175,4045,28,154,10,69,41,45,13,0,0,-79.2789079388,43.759274372700006,4.578895576730684,9.65842167255595,360
32,Dovercourt-Wallace Emerson-Juncti,93,M6H,West Toronto,36625,34635,5.8,3.7,9898.648648648648,0.24,0.06486486486486485,88,35.06,22330,70893,6400,1610,719,512789,,5690,7460,6485,1.1503469545104086,1550,5335,6665,3055,2475,963,28470,10775,17325,8205,20,196,20,78,35,27,12,0,2,-79.4385406986,43.6656769317,7.2332811420027365,7.210031347962382,390
33,Downsview-Roding-CFB,26,M3M,North York,35052,34650,1.1,14.9,2352.48322147651,0.85,0.057046979865771806,59,23.72,18045,61994,7750,1420,692,400486,,4385,6145,7125,0.8624561403508771,1605,4135,4365,2560,3500,905,25200,4485,12305,9055,54,311,26,53,49,88,10,1,6,-79.4904973518,43.7332923453,6.4600767816240285,7.869215849265725,598
34,Dufferin Grove,83,M6H,West Toronto,11785,11450,2.9,1.4,8417.857142857143,0.08,0.05714285714285715,90,40.07,7555,66895,2140,565,721,502736,,2165,2005,3100,0.646774193548387,630,1835,2140,915,775,1021,9490,3965,6150,2005,20,84,7,27,15,8,3,1,1,-79.4373410365,43.6554283326,7.515300097167202,7.478491065519524,166
35,East End-Danforth,62,M4E,Downtown Toronto,21381,20840,2.6,2.6,8223.461538461539,0.13,0.05,85,35.29,12120,90812,3520,990,741,535867,,2870,4930,4185,1.1780167264038233,1070,2340,3325,2025,1290,831,15585,6860,11085,2660,10,144,15,79,31,21,12,0,2,-79.2993586723,43.684173877700005,5.9008390961546935,8.16831683168317,314
36,Edenbridge-Humber Valley,9,M9A,Etobicoke,15535,14945,4.0,5.5,2824.5454545454545,0.54,0.09818181818181819,49,46.41,8420,119581,1660,510,761,873268,,1900,3230,2790,1.157706093189964,810,2000,2070,1195,1030,1127,11860,5190,8175,1725,3,26,6,46,3,29,1,0,0,-79.5224577643,43.6708859094,7.302732039370803,6.0570071258907365,114
37,Eglinton East,138,M1J,Scarborough,22776,22830,-0.2,3.2,7117.5,0.23,0.071875,62,34.79,10690,57357,6290,1155,705,274020,,2830,3585,4475,0.8011173184357542,940,1840,2300,1760,2435,874,15720,3650,8510,3975,26,165,13,62,32,22,6,0,1,-79.245598036,43.7409222979,4.777446519169413,10.804490177736202,327
