Neighborhood,Athletics & Sports,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment,Event Hall,Fast Food,Gas Station,Grocery,Gym,Hotel,Liquor Store,Medical,Moving Target,Museum,Museum ,Office,Outdoor,Park,Professional Services,Residential,Restaurant,Retail,Salon,Transportation,University
Lambton Baby Point ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Lansing-Westgate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lawrence Park North ,1,2,2,7,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,3,0,1,0
Lawrence Park South ,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0
Leaside-Bennington,2,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0
Little Portugal,1,0,9,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0
Long Branch,0,0,1,1,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0
Malvern ,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maple Leaf,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Markland Wood ,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Milliken ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Mimico,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Morningside ,0,0,0,0,2,1,0,0,3,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0
Moss Park ,1,0,2,0,3,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,9,6,0,1,0
Mount Dennis ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Mount Olive-Silverstone-Jamestown ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Mount Pleasant East ,0,0,1,5,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0
Mount Pleasant West ,0,0,2,12,7,0,1,0,7,0,1,3,0,0,1,0,0,0,0,0,0,0,0,20,1,0,0,0
New Toronto ,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Newtonbrook East ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Niagara ,2,0,3,2,1,0,3,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,3,2,0,0,0
North Riverdale ,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
North St.James Town ,0,1,1,0,8,0,0,0,4,0,5,0,2,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0
O'Connor-Parkview ,1,1,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Oakridge ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0
Oakwood Village ,0,0,0,2,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Old East York ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
