Neighborhood,Area Code,Geo Name,Population Change,Longitude,Latitude
North St. James Town,74,M4Y,4.4,-79.3752465775,43.6696234081
Oakridge,121,M1L,2.6,-79.2797083433,43.6974081338
Oakwood Village,107,M6E,0.7,-79.4397854793,43.6885655593
O'Connor-Parkview,54,M4B,2.0,-79.3122277655,43.7068004906
Old East York,58,M4J,1.3,-79.3354883594,43.696781271200000
Palmerston-Little Italy,80,M6G,0.6,-79.41840872740000,43.6591571037
Parkwoods-Donalda,45,M3A,0.5,-79.3301795171,43.755033474500000
Pelmo Park-Humberlea,23,M9M,23.1,-79.52828220240000,43.7175146009
Playter Estates-Danforth,67,M4K,2.0,-79.3548872857,43.6797004697
Pleasant View,46,M2J,-2.0,-79.33494842520000,43.786981759
Princess-Rosethorn,10,M9A,-1.3,-79.5445592919,43.666050604300000
Regent Park,72,M5A,8.0,-79.3605088051,43.659992142200000
Rexdale-Kipling,4,M9W,0.4,-79.5662284127,43.723725477200000
Rockcliffe-Smythe,111,M6N,-0.1,-79.4944204513,43.6747904521
Roncesvalles,86,M6R,-0.5,-79.4429924472,43.646122994400000
Rosedale-Moore Park,98,M4W,1.4,-79.3796694025,43.682820425300000
Rouge,131,M1B,1.3,-79.1863434458,43.8212012569
Runnymede-Bloor West Village,89,M6S,4.5,-79.485708182,43.6592688193
Rustic,28,M6L,-0.1,-79.4980914696,43.7116091166
Scarborough Village,139,M1M,0.7,-79.216812619,43.7386518596
South Parkdale,85,M6K,2.8,-79.43933783120000,43.6366995242
South Riverdale,70,M4M,8.7,-79.335651321,43.649292063500000
St.Andrew-Windfields,40,M2L,-0.8,-79.4000493,43.752758300000000
Steeles,116,M1W,-1.6,-79.3212070061,43.812958825900000
Stonegate-Queensway,16,M8Y,1.5,-79.50112821330000,43.635518132900000
Tam O'Shanter-Sullivan,118,M1T,0.2,-79.3029187122,43.7801298547
Taylor-Massey,61,M4C,0.6,-79.2959011188,43.6949981893
The Beaches,63,M4L,2.1,-79.2996013043,43.671049993100000
Thistletown-Beaumond Heights,3,M9V,2.2,-79.56349101720000,43.737987917300000
Thorncliffe Park,55,M4H,9.8,-79.3499836075,43.707749211900000
Trinity-Bellwoods,81,M6J,-1.5,-79.4153421634,43.6501763
University,79,M5S,-2.2,-79.401179748,43.6625062026
Victoria Village,43,M4A,1.9,-79.31487382650000,43.728489019400000
Waterfront Communities-The Island,77,M5J,52.0,-79.3772023146,43.6338803623
West Hill,136,M1E,3.2,-79.1766760264,43.7674902567
West Humber-Clairville,1,M9W,-2.3,-79.59635645350000,43.7161804033
Westminster-Branson,35,M2R,3.3,-79.4524182256,43.7788132165
Weston,113,M9N,-1.0,-79.5157225505,43.702716046300000
Weston-Pelham Park,91,M6N,-7.6,-79.4602439114,43.67396203770000
Wexford/Maryvale,119,M1R,3.3,-79.2986365699,43.7485721411
Willowdale East,51,M2N,12.0,-79.40148378960000,43.7706022616
Willowdale West,37,M2R,12.9,-79.4275578,43.771210491800000
Willowridge-Martingrove-Richview,7,M9R,3.8,-79.55472440000000,43.6889054
Woburn,137,M1H,0.3,-79.2285857671,43.766740239300000
Woodbine Corridor,64,M4L,7.2,-79.3154073786,43.6767729247
Woodbine-Lumsden,60,M4C,0.5,-79.3111635266,43.694106742400000
Wychwood,94,M6G,2.6,-79.425514947,43.6769192679
Yonge-Eglinton,100,M5P,11.7,-79.4035901675,43.704689367700000
Yonge-St.Clair,97,M4V,7.5,-79.3978707687,43.687858872
York University Heights,27,M3J,-0.4,-79.4888829298,43.765736490900000
Yorkdale-Glen Park,31,M6A,0.8,-79.4571080738,43.714671529300000
