,Neighborhood,Athletics & Sports,Bank,Bar/Club,Cafe,Coffee Shop,Convenience Store,Entertainment,Event Hall,Fast Food,Gas Station,Grocery,Gym,Hotel,Liquor Store,Medical,Moving Target,Museum,Museum ,Office,Outdoor,Park,Professional Services,Residential,Restaurant,Retail,Salon,Transportation,University
70,Lawrence Park South ,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0
71,Leaside-Bennington,2,0,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0
72,Little Portugal,1,0,9,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0
73,Long Branch,0,0,1,1,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0
74,Malvern ,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Maple Leaf,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,Markland Wood ,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,Milliken ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
78,Mimico,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
79,Morningside ,0,0,0,0,2,1,0,0,3,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0
80,Moss Park ,1,0,2,0,3,0,1,1,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,9,6,0,1,0
81,Mount Dennis ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
82,Mount Olive-Silverstone-Jamestown ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
83,Mount Pleasant East ,0,0,1,5,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0
84,Mount Pleasant West ,0,0,2,12,7,0,1,0,7,0,1,3,0,0,1,0,0,0,0,0,0,0,0,20,1,0,0,0
85,New Toronto ,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
