,Neighborhood,Area Code,Commute  15 or less,Commute  15 to 29,Commute  30 to 44,Commute  45 to 59,Commute  60 or more,Owned,Rented,Own Rent Ratio,Population Change,Latitude,Longitude,Geo Name
109,South Parkdale,85,1130.0,3115.0,3655.0,1595.0,1690.0,1105.0,9485.0,0.11649973642593568,2.8,43.6366995242,-79.43933783119999,M6K
110,South Riverdale,70,1685.0,4415.0,4400.0,1775.0,1495.0,6635.0,4105.0,1.6163215590742996,8.7,43.649292063500006,-79.335651321,M4M
111,St.Andrew-Windfields,40,735.0,2205.0,2350.0,1000.0,855.0,4290.0,2180.0,1.9678899082568808,-0.8,43.7527583,-79.4000493,M2L
112,Steeles,116,1305.0,2850.0,2400.0,1000.0,1815.0,6585.0,1095.0,6.013698630136986,-1.6,43.812958825900004,-79.3212070061,M1W
113,Stonegate-Queensway,16,1475.0,3040.0,3595.0,2245.0,1410.0,6860.0,3565.0,1.9242636746143058,1.5,43.635518132899996,-79.50112821329999,M8Y
114,Tam O'Shanter-Sullivan,118,1210.0,3300.0,2865.0,1240.0,2310.0,5700.0,4110.0,1.3868613138686132,0.2,43.7801298547,-79.3029187122,M1T
115,Taylor-Massey,61,420.0,1045.0,2305.0,1615.0,1285.0,2260.0,4035.0,0.5600991325898389,0.6,43.6949981893,-79.2959011188,M4C
116,The Beaches,63,1300.0,3060.0,3000.0,1805.0,1045.0,6240.0,3140.0,1.9872611464968153,2.1,43.671049993100006,-79.2996013043,M4L
117,Thistletown-Beaumond Heights,3,655.0,1315.0,1215.0,485.0,685.0,2080.0,1145.0,1.8165938864628821,2.2,43.737987917299996,-79.56349101720001,M9V
118,Thorncliffe Park,55,1010.0,1565.0,1935.0,1245.0,1290.0,610.0,6105.0,0.09991809991809991,9.8,43.707749211899994,-79.3499836075,M4H
119,Trinity-Bellwoods,81,1170.0,3045.0,2420.0,855.0,765.0,3905.0,2940.0,1.3282312925170068,-1.5,43.6501763,-79.4153421634,M6J
120,University,79,670.0,1290.0,955.0,320.0,260.0,1335.0,1960.0,0.6811224489795918,-2.2,43.6625062026,-79.401179748,M5S
121,Victoria Village,43,890.0,1825.0,1650.0,1405.0,1570.0,3085.0,4205.0,0.7336504161712247,1.9,43.728489019399994,-79.31487382649999,M4A
122,Waterfront Communities-The Island,77,9230.0,18250.0,9955.0,3320.0,3040.0,13350.0,13640.0,0.9787390029325513,52.0,43.6338803623,-79.3772023146,M5J
123,West Hill,136,1015.0,2455.0,2575.0,1740.0,3275.0,5875.0,3820.0,1.537958115183246,3.2,43.7674902567,-79.1766760264,M1E
124,West Humber-Clairville,1,2325.0,4650.0,3955.0,1615.0,3010.0,7075.0,3050.0,2.319672131147541,-2.3,43.7161804033,-79.59635645350001,M9W
125,Westminster-Branson,35,915.0,2725.0,3515.0,2030.0,2725.0,4055.0,6040.0,0.6713576158940397,3.3,43.7788132165,-79.4524182256,M2R
126,Weston,113,715.0,2015.0,2225.0,1105.0,1745.0,3090.0,4815.0,0.6417445482866043,-1.0,43.702716046300004,-79.5157225505,M9N
127,Weston-Pelham Park,91,435.0,1025.0,1760.0,950.0,1010.0,2590.0,1810.0,1.430939226519337,-7.6,43.67396203770001,-79.4602439114,M6N
128,Wexford/Maryvale,119,1590.0,3275.0,3150.0,2015.0,2320.0,6320.0,3655.0,1.7291381668946648,3.3,43.7485721411,-79.2986365699,M1R
129,Willowdale East,51,2050.0,5430.0,7290.0,4175.0,2830.0,13515.0,6120.0,2.2083333333333335,12.0,43.7706022616,-79.40148378960001,M2N
130,Willowdale West,37,680.0,1680.0,2200.0,1290.0,1050.0,4555.0,2120.0,2.1485849056603774,12.9,43.771210491800005,-79.4275578,M2R
131,Willowridge-Martingrove-Richview,7,1155.0,3165.0,2320.0,1170.0,1545.0,4605.0,3540.0,1.3008474576271187,3.8,43.6889054,-79.5547244,M9R
132,Woburn,137,2740.0,5360.0,5280.0,2895.0,5320.0,9905.0,8475.0,1.168731563421829,0.3,43.766740239300006,-79.2285857671,M1H
133,Woodbine Corridor,64,530.0,1450.0,2145.0,1095.0,735.0,3250.0,1965.0,1.6539440203562341,7.2,43.6767729247,-79.3154073786,M4L
134,Woodbine-Lumsden,60,370.0,900.0,1420.0,915.0,495.0,2380.0,1095.0,2.17351598173516,0.5,43.694106742399995,-79.3111635266,M4C
135,Wychwood,94,585.0,2020.0,2355.0,915.0,720.0,2700.0,2830.0,0.9540636042402827,2.6,43.6769192679,-79.425514947,M6G
136,Yonge-Eglinton,100,695.0,1765.0,2215.0,795.0,470.0,2050.0,3155.0,0.6497622820919176,11.7,43.704689367700006,-79.4035901675,M5P
137,Yonge-St.Clair,97,780.0,2265.0,2195.0,630.0,460.0,2625.0,4160.0,0.6310096153846154,7.5,43.687858872,-79.3978707687,M4V
138,York University Heights,27,1365.0,3280.0,3430.0,1605.0,3095.0,4650.0,5660.0,0.8215547703180212,-0.4,43.765736490900004,-79.4888829298,M3J
139,Yorkdale-Glen Park,31,850.0,1770.0,2170.0,845.0,805.0,2965.0,2280.0,1.3004385964912282,0.8,43.714671529300006,-79.4571080738,M6A
