,Postal Code,Neighborhood,Borough,Dwelling,Income,HouseholdIncome,Latitude,Longitude
111,M3N,Downsview Northwest,North York,448578.0,21074.0,47650.0,43.7616313,-79.52099940000001
112,M4N,Lawrence Park,Central Toronto,1599198.0,61680.0,137758.0,43.7280205,-79.3887901
113,M5N,Roselawn,Central Toronto,1505143.0,45344.0,94106.0,43.7116948,-79.41693559999999
114,M6N,Runnymede,York,501247.0,25857.0,57771.0,43.67318529999999,-79.48726190000001
115,M6N,Runnymede,York,501247.0,25857.0,57771.0,43.67318529999999,-79.48726190000001
116,M9N,Weston,York,549349.0,26356.0,50545.0,43.706876,-79.51818840000001
117,M1P,Wexford Heights,Scarborough,421009.0,24639.0,56661.0,43.7574096,-79.27330400000001
118,M1P,Wexford Heights,Scarborough,421009.0,24639.0,56661.0,43.7574096,-79.27330400000001
119,M1P,Wexford Heights,Scarborough,421009.0,24639.0,56661.0,43.7574096,-79.27330400000001
120,M2P,York Mills West,North York,1599262.0,49124.0,107520.0,43.752758299999996,-79.4000493
121,M4P,Davisville North,Central Toronto,798823.0,40888.0,61036.0,43.7127511,-79.3901975
122,M5P,Forest Hill West,Central Toronto,1506742.0,50153.0,85309.0,43.6969476,-79.41130720000001
123,M5P,Forest Hill West,Central Toronto,1506742.0,50153.0,85309.0,43.6969476,-79.41130720000001
124,M6P,The Junction South,West Toronto,750321.0,38497.0,68983.0,43.6616083,-79.46476329999999
125,M6P,The Junction South,West Toronto,750321.0,38497.0,68983.0,43.6616083,-79.46476329999999
126,M9P,Westmount,Etobicoke,699557.0,33225.0,73425.0,43.696319,-79.53224240000002
127,M1R,Wexford,Scarborough,601111.0,26028.0,60881.0,43.750071500000004,-79.2958491
128,M1R,Wexford,Scarborough,601111.0,26028.0,60881.0,43.750071500000004,-79.2958491
129,M2R,Willowdale West,North York,649696.0,23861.0,56027.0,43.7827364,-79.4422593
130,M4R,North Toronto West,Central Toronto,1299171.0,52928.0,94208.0,43.7153834,-79.40567840000001
131,M5R,Yorkville,Central Toronto,1202204.0,43152.0,68881.0,43.6727097,-79.40567840000001
132,M5R,Yorkville,Central Toronto,1202204.0,43152.0,68881.0,43.6727097,-79.40567840000001
133,M5R,Yorkville,Central Toronto,1202204.0,43152.0,68881.0,43.6727097,-79.40567840000001
134,M6R,Roncesvalles,West Toronto,947600.0,41895.0,78580.0,43.6489597,-79.456325
135,M6R,Roncesvalles,West Toronto,947600.0,41895.0,78580.0,43.6489597,-79.456325
136,M7R,Canada Post Gateway Processing Centre,Mississauga,,,,43.6369656,-79.61581899999999
137,M9R,St. Phillips,Etobicoke,601046.0,27910.0,63032.0,43.6889054,-79.55472440000001
138,M9R,St. Phillips,Etobicoke,601046.0,27910.0,63032.0,43.6889054,-79.55472440000001
139,M9R,St. Phillips,Etobicoke,601046.0,27910.0,63032.0,43.6889054,-79.55472440000001
140,M9R,St. Phillips,Etobicoke,601046.0,27910.0,63032.0,43.6889054,-79.55472440000001
141,M1S,Agincourt,Scarborough,598057.0,21514.0,63376.0,43.7942003,-79.26202940000002
142,M4S,Davisville,Central Toronto,851388.0,48805.0,75520.0,43.7043244,-79.3887901
143,M5S,University of Toronto,Downtown Toronto,750845.0,28173.0,52966.0,43.6626956,-79.4000493
144,M5S,University of Toronto,Downtown Toronto,750845.0,28173.0,52966.0,43.6626956,-79.4000493
145,M6S,Swansea,West Toronto,801672.0,47751.0,90288.0,43.6515706,-79.4844499
146,M6S,Swansea,West Toronto,801672.0,47751.0,90288.0,43.6515706,-79.4844499
147,M1T,Tam O'Shanter,Scarborough,598977.0,22661.0,53535.0,43.7816375,-79.3043021
148,M1T,Tam O'Shanter,Scarborough,598977.0,22661.0,53535.0,43.7816375,-79.3043021
149,M1T,Tam O'Shanter,Scarborough,598977.0,22661.0,53535.0,43.7816375,-79.3043021
150,M4T,Summerhill East,Central Toronto,1398897.0,60356.0,96571.0,43.6895743,-79.38315990000001
151,M4T,Summerhill East,Central Toronto,1398897.0,60356.0,96571.0,43.6895743,-79.38315990000001
152,M5T,Kensington Market,Downtown Toronto,598675.0,20336.0,43986.0,43.6532057,-79.4000493
153,M5T,Kensington Market,Downtown Toronto,598675.0,20336.0,43986.0,43.6532057,-79.4000493
154,M5T,Kensington Market,Downtown Toronto,598675.0,20336.0,43986.0,43.6532057,-79.4000493
155,M1V,Steeles East,Scarborough,600553.0,19675.0,64576.0,43.8152522,-79.2845772
156,M1V,Steeles East,Scarborough,600553.0,19675.0,64576.0,43.8152522,-79.2845772
157,M1V,Steeles East,Scarborough,600553.0,19675.0,64576.0,43.8152522,-79.2845772
158,M1V,Steeles East,Scarborough,600553.0,19675.0,64576.0,43.8152522,-79.2845772
159,M4V,Summerhill West,Central Toronto,1344811.0,54838.0,85487.0,43.68641229999999,-79.4000493
160,M4V,Summerhill West,Central Toronto,1344811.0,54838.0,85487.0,43.68641229999999,-79.4000493
161,M4V,Summerhill West,Central Toronto,1344811.0,54838.0,85487.0,43.68641229999999,-79.4000493
162,M4V,Summerhill West,Central Toronto,1344811.0,54838.0,85487.0,43.68641229999999,-79.4000493
163,M4V,Summerhill West,Central Toronto,1344811.0,54838.0,85487.0,43.68641229999999,-79.4000493
164,M5V,South Niagara,Downtown Toronto,415435.0,52970.0,77752.0,43.6289467,-79.3944199
165,M5V,South Niagara,Downtown Toronto,415435.0,52970.0,77752.0,43.6289467,-79.3944199
166,M5V,South Niagara,Downtown Toronto,415435.0,52970.0,77752.0,43.6289467,-79.3944199
167,M5V,South Niagara,Downtown Toronto,415435.0,52970.0,77752.0,43.6289467,-79.3944199
168,M5V,South Niagara,Downtown Toronto,415435.0,52970.0,77752.0,43.6289467,-79.3944199
